category,sample_id,split,defect_label,is_anomalous,rgb_path,ir_path,pointcloud_path,rgb_gt_path,ir_gt_path,pointcloud_gt_path,rgb_gt_csv_path,rgb_gt_available,ir_gt_available,pointcloud_gt_available,rgb_declared_in_metadata,infrared_declared_in_metadata,pointcloud_declared_in_metadata
button_cell,0,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/0.png,data/raw/MulSen_AD/button_cell/Infrared/train/0.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/0.stl,,,,,False,False,False,,,
button_cell,1,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/1.png,data/raw/MulSen_AD/button_cell/Infrared/train/1.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/1.stl,,,,,False,False,False,,,
button_cell,10,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/10.png,data/raw/MulSen_AD/button_cell/Infrared/train/10.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/10.stl,,,,,False,False,False,,,
button_cell,11,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/11.png,data/raw/MulSen_AD/button_cell/Infrared/train/11.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/11.stl,,,,,False,False,False,,,
button_cell,12,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/12.png,data/raw/MulSen_AD/button_cell/Infrared/train/12.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/12.stl,,,,,False,False,False,,,
button_cell,13,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/13.png,data/raw/MulSen_AD/button_cell/Infrared/train/13.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/13.stl,,,,,False,False,False,,,
button_cell,14,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/14.png,data/raw/MulSen_AD/button_cell/Infrared/train/14.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/14.stl,,,,,False,False,False,,,
button_cell,15,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/15.png,data/raw/MulSen_AD/button_cell/Infrared/train/15.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/15.stl,,,,,False,False,False,,,
button_cell,16,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/16.png,data/raw/MulSen_AD/button_cell/Infrared/train/16.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/16.stl,,,,,False,False,False,,,
button_cell,17,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/17.png,data/raw/MulSen_AD/button_cell/Infrared/train/17.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/17.stl,,,,,False,False,False,,,
button_cell,18,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/18.png,data/raw/MulSen_AD/button_cell/Infrared/train/18.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/18.stl,,,,,False,False,False,,,
button_cell,19,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/19.png,data/raw/MulSen_AD/button_cell/Infrared/train/19.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/19.stl,,,,,False,False,False,,,
button_cell,2,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/2.png,data/raw/MulSen_AD/button_cell/Infrared/train/2.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/2.stl,,,,,False,False,False,,,
button_cell,20,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/20.png,data/raw/MulSen_AD/button_cell/Infrared/train/20.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/20.stl,,,,,False,False,False,,,
button_cell,21,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/21.png,data/raw/MulSen_AD/button_cell/Infrared/train/21.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/21.stl,,,,,False,False,False,,,
button_cell,22,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/22.png,data/raw/MulSen_AD/button_cell/Infrared/train/22.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/22.stl,,,,,False,False,False,,,
button_cell,23,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/23.png,data/raw/MulSen_AD/button_cell/Infrared/train/23.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/23.stl,,,,,False,False,False,,,
button_cell,24,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/24.png,data/raw/MulSen_AD/button_cell/Infrared/train/24.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/24.stl,,,,,False,False,False,,,
button_cell,25,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/25.png,data/raw/MulSen_AD/button_cell/Infrared/train/25.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/25.stl,,,,,False,False,False,,,
button_cell,26,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/26.png,data/raw/MulSen_AD/button_cell/Infrared/train/26.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/26.stl,,,,,False,False,False,,,
button_cell,27,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/27.png,data/raw/MulSen_AD/button_cell/Infrared/train/27.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/27.stl,,,,,False,False,False,,,
button_cell,28,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/28.png,data/raw/MulSen_AD/button_cell/Infrared/train/28.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/28.stl,,,,,False,False,False,,,
button_cell,29,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/29.png,data/raw/MulSen_AD/button_cell/Infrared/train/29.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/29.stl,,,,,False,False,False,,,
button_cell,3,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/3.png,data/raw/MulSen_AD/button_cell/Infrared/train/3.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/3.stl,,,,,False,False,False,,,
button_cell,30,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/30.png,data/raw/MulSen_AD/button_cell/Infrared/train/30.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/30.stl,,,,,False,False,False,,,
button_cell,31,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/31.png,data/raw/MulSen_AD/button_cell/Infrared/train/31.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/31.stl,,,,,False,False,False,,,
button_cell,32,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/32.png,data/raw/MulSen_AD/button_cell/Infrared/train/32.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/32.stl,,,,,False,False,False,,,
button_cell,33,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/33.png,data/raw/MulSen_AD/button_cell/Infrared/train/33.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/33.stl,,,,,False,False,False,,,
button_cell,34,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/34.png,data/raw/MulSen_AD/button_cell/Infrared/train/34.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/34.stl,,,,,False,False,False,,,
button_cell,35,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/35.png,data/raw/MulSen_AD/button_cell/Infrared/train/35.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/35.stl,,,,,False,False,False,,,
button_cell,36,train,good,False,data/raw/MulSen_AD/button_cell/RGB/train/36.png,data/raw/MulSen_AD/button_cell/Infrared/train/36.png,data/raw/MulSen_AD/button_cell/Pointcloud/train/36.stl,,,,,False,False,False,,,
